127.0.0.1 - - [12/Jun/2022:20:37:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:29 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:29 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:29 +0900] "GET /1_MyBatis/resources/mybatis.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:32 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:39 +0900] "POST /1_MyBatis/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:39 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:39 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:39 +0900] "GET /1_MyBatis/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:41 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:50 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:50 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [12/Jun/2022:20:37:51 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 5783
