127.0.0.1 - - [08/Jun/2022:18:54:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Jun/2022:18:54:43 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [08/Jun/2022:18:54:43 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [08/Jun/2022:18:54:43 +0900] "GET /1_MyBatis/resources/mybatis.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:18:54:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Jun/2022:18:55:22 +0900] "POST /1_MyBatis/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:18:55:22 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:18:55:22 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [08/Jun/2022:18:55:22 +0900] "GET /1_MyBatis/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:18:55:26 +0900] "GET /1_MyBatis/info.me HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [08/Jun/2022:18:55:27 +0900] "POST /1_MyBatis/memberUpdateForm.me HTTP/1.1" 200 14675
0:0:0:0:0:0:0:1 - - [08/Jun/2022:18:55:37 +0900] "GET /1_MyBatis/memberPwdUpdateForm.me HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [08/Jun/2022:21:18:37 +0900] "GET /1_MyBatis/logout.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:21:18:37 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:21:18:37 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [08/Jun/2022:21:18:50 +0900] "POST /1_MyBatis/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:21:18:50 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:21:18:50 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [08/Jun/2022:21:18:53 +0900] "GET /1_MyBatis/info.me HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [08/Jun/2022:21:18:55 +0900] "GET /1_MyBatis/memberPwdUpdateForm.me HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [08/Jun/2022:21:19:06 +0900] "POST /1_MyBatis/mPwdUpdate.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:21:19:06 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:21:19:06 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2041
